coeffs_len,us
4610,86826
3475,46164
1195,5647.4
3940,59861
1055,4489
4915,86858.2
945,3325.6
1845,12322.6
1450,7620.4
615,1379
610,1383.6
2305,18925.6
345,439.8
3740,53322.8
415,639.6
2790,27634.8
3865,53295.6
3420,41194.4
1875,12597
440,722.2
2455,21391.8
135,67
895,2982.4
3040,33125.6
1970,14266.4
2605,25094
1275,5954.8
2600,24395
1220,5415
4480,70980
4240,63216
340,437.4
1590,9086.8
3700,48162.2
1925,13224
305,366.2
1650,9949
130,68.4
4125,62411.4
1040,3971.6
2935,30642
2285,18556
4290,64722
3195,36397.2
165,108.4
4760,81092
550,1175.6
2460,21940.6
2820,27953.8
